                PID              AREA_1           PERIMETER ZONING 
 134114.00000000000       1882636.72500         11146.96717 A      
 386524.00000000000        767652.65500          4243.97634 CDA    
 386128.00000000000        549478.99625          4015.56484 OS     
 134114.00000000000        371595.84250          3451.70812 A      
 134114.00000000000        354295.30250          2605.02624 A      
 192864.00000000000        307522.78625          3601.14706 R2S    
 192328.00000000000        324936.26375          3384.27681 OS     
 191965.00000000000        308827.36875          2849.20400 R2S    
 422642.00000000000        303391.17750          2614.96148 R2S    
 664136.00000000000        303208.59500          2648.72950 R2S    
 145185.00000000000        294583.43500          2745.52042 R2S    
 134916.00000000000          7097.91223           475.73088 R2     
 530386.00000000000        295440.91875          2932.03807 R2S    
 192161.00000000000        274245.36000          2498.26764 R2S    
 191965.00000000000        269727.38625          2491.87013 R2S    
 365973.00000000000        262482.05625          2593.69714 OS     
 386532.00000000000        248806.13375          2354.84887 CDA    
 388108.00000000000        219126.97500          3465.89921 I      
 134114.00000000000        239479.75250          2805.27671 A      
 145185.00000000000        236887.47375          2795.73035 R2S    
 134114.00000000000        228305.39250          2216.22971 A      
 534115.00000000000        202200.54625          2059.62372 I      
 134114.00000000000        201317.09500          3464.73774 A      
 134973.00000000000        196408.17500          2764.39746 R2S    
 388736.00000000000        195889.25000          4285.68466 I      
 390161.00000000000        191698.93000          1839.02360 I      
 703694.00000000000        191349.50000          1782.60140 R1L    
 134957.00000000000        184869.66625          2695.31340 R2S    
 372896.00000000000        175909.20375          1979.41994 CDA    
 134882.00000000000        173463.55875          2481.46440 R2S    
 615831.00000000000        169771.27125          2361.35326 R2     
 192161.00000000000        168979.57500          2362.92222 R2S    
 388637.00000000000        167045.97625          1812.36419 I      
 192153.00000000000        160001.07000          1626.01490 R2S    
1016294.00000000000        159876.73500          2156.23964 R2S    
 410308.00000000000        144589.28375          1739.84424 R2S    
 191726.00000000000        144370.59125          2064.63171 CDA    
 402651.00000000000        138578.02875          2201.39915 R2S    
 388215.00000000000         92834.61259          1457.94881 CDA    
 134114.00000000000        134534.02250          1700.38523 A      
 425900.00000000000        133361.72250          2166.32012 OS     
 728394.00000000000        126760.53250          1580.23266 MH     
 134114.00000000000        125398.34125          2113.88571 A      
 387514.00000000000        116203.03125          1391.29620 R1L    
1004100.00000000000        112329.53625          1622.12572 R2     
 425827.00000000000        111262.87875          1473.86390 I      
 388678.00000000000        101915.48875          1804.21388 R1L    
 145177.00000000000         99580.86500          1590.25176 R2S    
 388637.00000000000         98312.46250          1296.11670 I      
 416305.00000000000         93168.85625          2155.68138 R2S    
 134114.00000000000         91587.92875          1657.30965 A      
 278739.00000000000         90844.96875          1248.30918 CDA    
 388280.00000000000         90247.13625          1413.73515 C2     
 508432.00000000000         88585.07250          1690.60762 R2     
 688838.00000000000         87559.07750          1416.72509 I      
 145177.00000000000         84401.28875          1454.25878 CDA    
 502484.00000000000         79527.63875          1168.50731 R1L    
 134114.00000000000         79007.25625          1496.29509 CDA    
 878603.00000000000         78336.29875          1353.14365 I      
 684514.00000000000         77977.25250          1306.70582 R2S    
 134965.00000000000         77958.57625          1370.85043 R2S    
 771766.00000000000         75606.88500          1446.52665 R1L    
 134114.00000000000         75552.93125          1105.30652 A      
 387621.00000000000         74439.85750          1167.89478 CDA    
 703694.00000000000         66732.25000          1801.52411 R1L    
 390153.00000000000         71305.35000          1120.90107 I      
 387902.00000000000         70709.16625          1150.86123 CDA    
 193284.00000000000         69224.25500          1405.72586 R2S    
 367409.00000000000         68811.72250          1303.24139 OS     
 868281.00000000000         65994.71750          1102.92849 I      
 387761.00000000000         64520.29125          1153.72378 C3     
 390740.00000000000         60983.96326          1321.64769 CDA    
 372896.00000000000         61440.55875          1184.69020 CDA    
 388249.00000000000         61178.62750          1160.45920 M1     
 708115.00000000000         61073.68500          1025.66273 R1L    
 746164.00000000000         45812.65121          1319.47477 R2S    
 388207.00000000000         60856.87000          1106.92930 C2     
 145284.00000000000         59983.11125          1259.27384 R1L    
 191965.00000000000         58480.17750          1236.28944 R2S    
 455642.00000000000         56923.06250           984.51283 M3     
 192310.00000000000         56180.04625          1115.48308 R1S    
 739433.00000000000         54828.01375          1394.95092 CDA    
 442392.00000000000         54753.21250          1661.56200 I      
 390229.00000000000         54209.31250          1086.06523 I      
 388637.00000000000         53945.10750          1125.54927 I      
 390468.00000000000         53625.01625           986.19130 CDA    
 709246.00000000000         25847.50000           643.34958 R2     
 145706.00000000000         52557.20000          1001.61188 M1     
 387761.00000000000         51880.28625          1109.65713 C3     
 388439.00000000000         51877.50000          1135.08721 R1S    
 931360.00000000000         51199.48125          1884.53240 OS     
 430017.00000000000         50515.41000          1056.49835 I      
 191718.00000000000         49529.05250          1167.45511 R2     
 192401.00000000000         49364.51500          1136.09063 R1L    
 388389.00000000000         48956.03500          1564.85750 R1S    
 729186.00000000000         48641.68250           934.83262 M1     
 635060.00000000000         47833.77625           977.13467 R1L    
 895086.00000000000         46642.87125           926.29099 R2     
 278093.00000000000         46223.00375          1037.23413 I      
 145920.00000000000         46149.76500          1065.20394 R1L    
 416354.00000000000         45659.24625          1040.01534 M2     
 192948.00000000000         45409.54000           896.19951 MH     
 768473.00000000000         43524.82967          1014.10531 CDA    
 388595.00000000000         45044.76000          1202.59644 R1S    
 641027.00000000000         44435.84750           985.08446 OS     
 192245.00000000000         43816.57625          1771.34472 R1L    
 390765.00000000000         43796.43375          4903.84397 OS     
 192922.00000000000         43666.41000           998.90154 I      
 192252.00000000000         43296.89500          1235.48750 R2S    
 279091.00000000000         43172.33250          1046.18374 OS     
 134890.00000000000         42958.17250           861.47856 R2     
 145730.00000000000         42429.75500          1028.78427 R1L    
 388140.00000000000         87015.87667           988.08458 C3     
 365965.00000000000         41329.41750           818.41015 I      
 387779.00000000000         41187.00000           876.21436 C3     
 640771.00000000000         41161.77500           867.95591 R1L    
 192872.00000000000         39723.48500           879.29705 R2S    
 388215.00000000000         37337.87500           888.90835 CDA    
 857441.00000000000         37124.94875          1065.92968 R1S    
 388553.00000000000         37104.66250           774.48362 R2S    
 192328.00000000000         36420.99750           847.50233 OS     
 941260.00000000000         36279.24250           809.69640 M1     
 776658.00000000000         35427.42875           922.09222 CDA    
 277368.00000000000         35037.36250           809.06988 OS     
1024561.00000000000         34946.03750          1117.65403 OS     
 134114.00000000000         34773.84125          1451.23411 A      
 367599.00000000000         34572.60000           846.93984 OS     
 690966.00000000000         34427.63750          1129.54872 OS     
 134114.00000000000         34387.20000          1008.75323 A      
 373126.00000000000         34319.95625          1064.94220 I      
 452441.00000000000         33355.77375           811.71293 M2     
 191692.00000000000         33134.53875           761.51299 M1     
 729186.00000000000         33029.43000           734.19347 M1     
 387308.00000000000         32671.24500           943.84897 C3     
 694661.00000000000         32576.67625           691.19789 I      
 192385.00000000000         32427.03125           884.03895 R1L    
 372284.00000000000         32005.55000           852.25918 C3     
 145102.00000000000         31982.93375           712.78867 R2S    
 388298.00000000000         31698.39000           719.22809 CDA    
 895243.00000000000         31652.87625           708.67284 M1     
 819094.00000000000         31392.46625          2995.92550 OS     
 681270.00000000000         31254.01125           862.02631 R2     
 889428.00000000000         30956.16875           791.33031 M1     
 802983.00000000000         30884.18750           907.38385 R1L    
 673038.00000000000         30727.61625          1124.05441 C2     
 813543.00000000000         30671.70750           869.80409 M3     
 395764.00000000000         29592.10000           681.06390 OS     
 413484.00000000000         29578.09125           787.55831 OS     
 663823.00000000000         29389.45125           724.97761 I      
 192476.00000000000         29181.88625           782.85680 CDA    
 343913.00000000000         29019.04500           951.71214 I      
 880401.00000000000         28863.73000           825.77330 M1     
 392043.00000000000         28858.68875           992.01754 OS     
 191882.00000000000         28604.40375           723.14029 OS     
 936542.00000000000         28251.87750          2464.88708 OS     
 607556.00000000000         28243.18750           881.23442 I      
 555565.00000000000         28216.30250           694.52476 M3     
 388629.00000000000         28209.55250          1006.73960 R1S    
 145128.00000000000         28164.79625           868.30957 M3     
 597237.00000000000         27944.21250           722.13407 M2     
 192492.00000000000         27336.01625           787.43200 CDA    
 275966.00000000000         26531.26875           788.31080 R1S    
 390328.00000000000         26962.67750           747.61830 I      
 192906.00000000000         26773.42875           793.37337 M1     
 278853.00000000000         26762.24250           819.71431 CDA    
 388561.00000000000         26440.08125          1075.53963 R1L    
 545863.00000000000         26168.38250           922.23092 M2     
 691527.00000000000         26045.91625           715.27732 M2     
 998088.00000000000         25939.70375           647.05840 I      
 544270.00000000000         25630.58750           904.19797 I      
 523803.00000000000         25549.73750          1031.82698 R1L    
 372276.00000000000         25544.87875           885.57389 C3     
 145532.00000000000         24946.33125           787.20043 R2S    
 372300.00000000000         24753.70250           699.50894 C3     
 430165.00000000000         24748.57625           782.32374 C2     
 901025.00000000000         24464.39500           650.07018 CDA    
 868281.00000000000         24006.39875           747.87421 I      
 523803.00000000000         23989.05750           986.64816 R1S    
 192054.00000000000         23919.76500           637.01386 R1L    
 452359.00000000000         23830.78000           661.65961 M1     
 518605.00000000000         23804.85500           646.06089 M1     
 572982.00000000000         23758.14000           783.42809 R1L    
 365957.00000000000         23704.32375           648.43549 I      
 374264.00000000000         23636.72500           631.53585 I      
 373431.00000000000         23588.90750           754.84164 CDA    
 523811.00000000000         23191.27000           751.85498 R1L    
 367607.00000000000         23132.76250           637.90435 I      
 192880.00000000000         22930.02000           642.55358 R2S    
 749044.00000000000         22774.78750           615.47644 M2     
 523803.00000000000         22539.02750           930.72311 R1S    
 648246.00000000000         22500.70500          1088.30745 OS     
 388124.00000000000         22496.83000           600.40201 I      
 480475.00000000000         22397.63250           696.67302 OS     
 655860.00000000000         22304.02750          1024.82231 R1L    
 338921.00000000000         22025.91375           884.79500 CDA    
 736926.00000000000         21994.30125           745.28878 R2S    
 658526.00000000000         21719.00125           704.09047 C2     
 390807.00000000000         21606.32250           590.02882 M2     
 387779.00000000000         21535.13875           637.92421 C3     
 393108.00000000000         21488.69000           620.67189 I      
 765586.00000000000         21054.63875           841.31721 R1L    
 704536.00000000000         21016.56000           922.14276 R1S    
 145128.00000000000         21010.32250           586.46211 M2     
 349639.00000000000         20957.00000           681.27017 I      
 367631.00000000000         20028.94125           829.80983 I      
 390773.00000000000         19249.77750           781.86070 M2     
 430314.00000000000         20612.45750          1437.62369 OS     
 388314.00000000000         20603.51250           949.52853 CDA    
 278986.00000000000         20515.78000           689.67125 M1     
 442400.00000000000         20405.30625           980.55075 R3     
 370833.00000000000         20331.61625           607.15910 I      
 390864.00000000000         20277.27875           617.57417 M1     
 416255.00000000000         20067.43250           569.49091 M2     
 669903.00000000000         19953.60125           623.84302 R1L    
 355461.00000000000         19703.47750           685.53896 I      
 387811.00000000000         19623.35375           577.55950 C3     
 191700.00000000000         19610.64125           599.92445 R2     
 365593.00000000000         19594.04375           614.37419 CDA    
 388686.00000000000         19478.04750           616.06977 R1L    
 677302.00000000000         19474.23875           584.92706 OS     
 388355.00000000000         18816.88625          1053.43198 I      
 365981.00000000000         19346.49625           792.96017 R1L    
 372326.00000000000         19082.16875           556.04796 R3     
 626127.00000000000         18666.83625           585.19815 OS     
 626119.00000000000         18623.81625           558.08548 OS     
 992875.00000000000         18297.36500           550.68608 I      
      0.00000000000         18291.43625          1010.76730 U      
 692616.00000000000         18230.47000           566.79647 M2     
 523803.00000000000         18002.23500           812.43148 R1L    
 365957.00000000000         17928.61750           577.32422 OS     
 991729.00000000000         17836.08750           590.20263 M1     
 530386.00000000000         17627.13000           652.84359 R2S    
 720177.00000000000         17427.09500           629.84476 R2S    
 388165.00000000000         17188.52750           531.15479 R1L    
 816777.00000000000         17154.02250          1031.76646 OS     
 358754.00000000000         17130.15250           644.44888 C3     
 388199.00000000000         17097.00000           597.47608 C2     
 191692.00000000000         17088.20125           547.83983 M1     
 335463.00000000000         16989.55500           527.46236 I      
 134114.00000000000         16741.12000           520.45366 A      
 340422.00000000000         16587.76875           727.74256 DMU    
 843813.00000000000         16667.33750           520.73927 OS     
 947259.00000000000         16631.32750           610.77457 R1L    
 655555.00000000000         16581.82625           621.10686 OS     
 696989.00000000000         16581.14875           671.61751 C2     
 387571.00000000000         16451.41125           597.43319 C2     
 191866.00000000000         16385.57625           607.59756 R2S    
 387597.00000000000         16311.69000           511.03875 C2     
 278903.00000000000         16304.08125           581.76923 MUC    
 655563.00000000000         16299.50250           573.51076 OS     
 279257.00000000000         16289.86125           637.68712 MUC    
 768903.00000000000         16246.71250           736.29573 M2     
 799908.00000000000         16095.29750           508.03124 R1L    
 373076.00000000000         16072.13125           558.75997 C2     
 335018.00000000000         15176.30125           687.17267 CDA    
 275073.00000000000         15878.75625           504.75703 OS     
 748616.00000000000         15818.64125          1747.15606 OS     
 275081.00000000000         15528.23875           551.37463 I      
 192906.00000000000         15521.13500           590.73333 M1     
 365668.00000000000         15417.62625           500.03932 P      
 390534.00000000000         15382.99250           758.60506 CDA    
 908145.00000000000         15356.38250           549.89515 M1     
 374124.00000000000         15319.22750           495.29894 I      
 193268.00000000000         15293.96375           617.46330 R1L    
 941260.00000000000         15261.06625           651.18540 M1     
 335158.00000000000         15083.54250           510.87492 DMU    
 823120.00000000000         14997.73750           549.60388 I      
 347740.00000000000         14996.78750           500.55558 I      
 369520.00000000000         14984.79000           503.72444 MUC    
 430223.00000000000         14960.05625           503.47059 C2     
 926675.00000000000         14910.58875           505.82673 R2S    
 365585.00000000000         14840.60125           885.23748 P      
 365809.00000000000         14805.73625           690.07007 OS     
 528182.00000000000         14778.61875           503.44045 MUC    
 335430.00000000000         14670.86750           675.14845 CDA    
 673038.00000000000         14641.11000           668.45380 C2     
 390849.00000000000         14635.93750           536.01058 M3     
 818856.00000000000         14633.07625           515.26961 R1L    
 387381.00000000000         14554.73750           551.26747 C2     
 416305.00000000000         14346.27500           578.87853 R2S    
 868281.00000000000         14329.04000           704.29239 I      
 859066.00000000000         14311.24125           478.98602 C2     
 721506.00000000000         14298.06125           487.10614 C3     
 343418.00000000000         14246.85625           482.97123 I      
 440180.00000000000         14231.15125           481.18403 M1     
 390815.00000000000         14218.36875           665.14131 M2     
 941799.00000000000         14199.88625           501.91335 OS     
 697268.00000000000         14109.06625          1674.37933 OS     
 691162.00000000000         14084.04500           659.79647 I      
 145847.00000000000         14080.09250           546.16407 R1L    
 839332.00000000000         14063.70500           494.00831 M1     
 390781.00000000000         14045.11875           554.28536 M2     
 372961.00000000000         13735.41750           564.89186 R3     
 587568.00000000000         13591.41250           464.16601 M2     
 387555.00000000000         13581.72750           502.14547 C2     
 849539.00000000000         13488.34875           538.31284 M2     
 688820.00000000000         13460.01125           480.09429 R2S    
 134114.00000000000         13425.89750           490.09637 A      
 370825.00000000000         13227.38125           461.18258 OS     
 404491.00000000000         13153.40000           539.71699 R1L    
 373043.00000000000         13152.05250           458.80014 C2     
 372912.00000000000         13110.34000           458.30392 I      
 948208.00000000000         13078.53125           479.80306 R2     
